int variables are 4 bytes
short int variables are 2 bytes

Buildings                       ID#
----------                      ---
"No Building",                  0
"Alien Control Center",         1
"Armor Barracks",               2
"Artemis System Net",           3
"Astro University",             4
"Atmosphere Renewer",           5
"Autolab",                      6
"Automated Factory",            7
"Battlestation",                8
"Capitol",                      9
"Cloning Center",               10
"Colony Base",                  11
"Deep Core Mine",               12
"Core Waste Dump",              13
"Dimensional Portal",           14
"Biospheres",                   15
"Food Replicators",             16
"Gaia Transformation",          17
"Currency Exchange",            18
"Galactic Cybernet",            19
"Holo Simulator",               20
"Hydroponic Farm",              21
"Marine Barracks",              22
"Barrier Shield",               23
"Flux Shield",                  24
"Gravity Generator",            25
"Missile Base",                 26
"Ground Batteries",             27
"Radiation Shield",             28
"Stock Exchange",               29
"Supercomputer",                30
"Pleasure Dome",                31
"Pollution Processor",          32
"Recyclotron",                  33
"Robotic Factory",              34
"Research Lab",                 35
"Robo Miner Plant",             36
"Soil Enrichment",              37
"Space Academy",                38
"Spaceport",                    39
"Star Base",                    40
"Star Fortress",                41
"Stellar Converter",            42
"Subterranean Farms",           43
"Terraforming",                 44
"Warp Interdictor",             45
"Weather Controller",           46
"Fighter Garrison",             47
"Artificial Planet",            48

#define MAX_BUILDINGS           49




//
// planet climate
//
#define TOXIC         0
#define RADIATED      1
#define BARREN        2
#define DESERT        3
#define TUNDRA        4
#define OCEAN         5
#define SWAMP         6
#define ARID          7
#define TERRAN        8
#define GAIA          9
	
//
// planet type
//
#define  not_used          0
#define  ASTEROID          1
#define  GAS_GIANT         2
#define  PLANET            3
#define  not_used          4
#define  not_used          5
#define  not_used          6
#define  not_used          7
#define  not_used          8
#define  not_used          9
#define  MAX_PLANET_TYPES 10


#define TINY_PLANET_SIZE      0
#define SMALL_PLANET_SIZE     1
#define MEDIUM_PLANET_SIZE    2
#define LARGE_PLANET_SIZE     3
#define HUGE_PLANET_SIZE      4
#define MAX_PLANET_SIZES      5

//
// mineral resources
//
#define ULTRA_POOR            0
#define POOR                  1
#define ABUNDANT              2
#define RICH                  3
#define ULTRA_RICH            4
#define MAX_MINERAL_CLASSES   5
//
// planet gravity
//             
#define LOW_G                 0
#define NORMAL_G              1
#define HEAVY_G               2
#define MAX_PLANET_GRAVITIES  3  


//
// Star spectral class
//
#define  B_CLASS                0
#define  F_CLASS                1
#define  G_CLASS                2
#define  K_CLASS                3
#define  M_CLASS                4
#define  DWARF_CLASS            5
#define  BLACK_HOLE_CLASS       6
#define  MAX_SPECTRAL_CLASSES   7


#define NO_SPECIAL                       0
#define STABLE_WORMHOLE                  1
#define SPACE_DEBRIS                     2
#define PIRATE_CACHE                     3
#define GOLD_DEPOSITS                    4
#define GEM_DEPOSITS                     5
#define NATIVES                          6
#define SPLINTER_COLONY                  7
#define MAROONED_HERO                    8
#define SPACE_MONSTER                    9
#define ANCIENT_ARTIFACTS                10
#define ORION_STAR_SYSTEM_SPECIAL        11
#define MAX_SYSTEM_AND_PLANET_SPECIALS   12
#define MAX_PLANET_SPECIALS              (MAX_SYSTEM_AND_PLANET_SPECIALS)


//------------------------------------------

#define MAX_POPS        42
#define MAX_PLAYERS      8
#define MAX_RACES       14           


#define N_POP_PLAYERS (MAX_PLAYERS+2)
#define N_POP_RACES (MAX_RACES+2)

// the regular races, plus following:

#define PLAYER_ANDROID  MAX_PLAYERS
#define PLAYER_NATIVE   (MAX_PLAYERS+1)
// players are referneced for russ arrays, 


#define RACE_ANDROID  MAX_RACES
#define RACE_NATIVE   (MAX_RACES+1)
// Races are referenced for the actual values assigned to pop in colony stuff(eric) (display stuff, pictures)


LEADER SKILLS
================

//General Skills                
#define ASSASSIN                1            
#define ASSASSIN2               2            
#define COMMANDO                4                
#define COMMANDO2               8    
#define DIPLOMAT                16           
#define DIPLOMAT2               32           
#define FAMOUS                  64           
#define FAMOUS2                 128          
#define MEGAWEALTH              256          
#define MEGAWEALTH2             512          
#define OPERATIONS              1024         
#define OPERATIONS2             2048         
#define RESEARCHER              4096         
#define RESEARCHER2             8192         
#define SPY_MASTER              16384        
#define SPY_MASTER2             32768        
#define TELEPATH                65536         
#define TELEPATH2               131072        
#define TRADER                  262144        
#define TRADER2                 524288        


// Ship leader special skills
#define ENGINEER                1               
#define ENGINEER2               2               
#define FIGHTER_PILOT           4      
#define FIGHTER_PILOT2          8      
#define GALACTIC_LORE           16    
#define GALACTIC_LORE2          32    
#define HELMSMAN                64             
#define HELMSMAN2               128             
#define NAVIGATOR               256
#define NAVIGATOR2              512
#define ORDNANCE                1024   
#define ORDNANCE2               2048    
#define SECURITY                4096        
#define SECURITY2               8192        
#define WEAPONRY                16384      
#define WEAPONRY2               32768      
                                

//Colony leader Special skills
#define ENVIRONMENTALIST       1      
#define ENVIRONMENTALIST2      2      
#define FARMING_LEADER         4         
#define FARMING_LEADER2        8         
#define FINANCIAL_LEADER       16        
#define FINANCIAL_LEADER2      32        
#define INSTRUCTOR             64            
#define INSTRUCTOR2            128           
#define LABOR_LEADER           256       
#define LABOR_LEADER2          512       
#define MEDICINE               1024      
#define MEDICINE2              2048      
#define SCIENCE_LEADER         4096      
#define SCIENCE_LEADER2        8192      
#define SPIRITUAL_LEADER       16384     
#define SPIRITUAL_LEADER2      32768     
#define TACTICS                65536        
#define TACTICS2               131072       


//Leader status
#define OFFICER_DEAD            (-2)
#define OFFICER_NOT_IN_USE      (-1)  //an unassigned mercenary
#define OFFICER_IN_POOL          0
#define OFFICER_ASSIGNED         1
#define OFFICER_UNASSIGNED       2      //in limbo between pool and ship 
#define OFFICER_BEING_CLONED     3      //not used
#define OFFICER_WAITING          4      //in queue, not in pool or assigned...no maintenance 
#define OFFICER_MAROONED         5      //assigned to a planet , or, in the case of SHIP heroes, just not assigned.


Player struct

//current government
-------------------------------------
#define  FEUDAL_GOVT                0
#define  CONFEDERATION_GOVT         1
#define  DICTATORSHIP_GOVT          2
#define  IMPERIUM_GOVT              3
#define  DEMOCRACY_GOVT             4
#define  FEDERATION_GOVT            5
#define  UNIFICATION_GOVT           6
#define  GALACTIC_UNIFICATION_GOVT  7


#define  XENOPHOBIC_PERSONALITY  0
#define  RUTHLESS_PERSONALITY    1
#define  AGGRESSIVE_PERSONALITY  2
#define  ERRATIC_PERSONALITY     3
#define  HONORABLE_PERSONALITY   4
#define  PACIFISTIC_PERSONALITY  5
#define  DISHONORED_PERSONALITY  6

#define  DIPLOMAT_OBJECTIVE      0
#define  MILITARIST_OBJECTIVE    1
#define  EXPANSIONIST_OBJECTIVE  2
#define  TECHNOLOGIST_OBJECTIVE  3
#define  INDUSTRIALIST_OBJECTIVE 4
#define  ECOLOGIST_OBJECTIVE     5
#define  HUMAN_PLAYER            100


enum {
   maintenance_building,
   maintenance_freighter,
   maintenance_ship,
   maintenance_spy,
   maintenance_tribute,
   maintenance_leader,
   n_maintenance_classes
};


TECHNOLOGY FIELDS

"Starting Tech",                        0
"Advanced Biology",                     1
"Advanced Chemistry",                   2
"Advanced Construction",                3
"Advanced Engineering",                 4
"Advanced Fusion",                      5
"Advanced Governments",                 6
"Advanced Magnetism",                   7
"Advanced Manufacturing",               8
"Advanced Metallurgy",                  9
"Military Tactics",                     10
"Advanced Robotics",                    11
"Teaching Methods",                     12
"Anti-Matter Fission",                  13
"Artificial Consciousness",             14
"Artificial Intelligence",              15
"Artificial Gravity",                   16
"Artificial Life",                      17
"Astro Biology",                        18
"Astro Construction",                   19
"Astro Engineering",                    20
"Capsule Construction",                 21
"Chemistry",                            22
"Cold Fusion",                          23
"Cybertechnics",                        24
"Cybertronics",                         25
"Distortion Fields",                    26
"Electromagnetic Refraction",           27
"Electronics",                          28
"Engineering",                          29
"Evolutionary Genetics",                30
"Fusion Physics",                       31
"Galactic Economics",                   32
"Galactic Networking",                  33
"Genetic Engineering",                  34
"Genetic Mutations",                    35
"Gravitic Fields",                      36
"High Energy Distribution",             37
"Hyper Dimensional Fission",            38
"Hyper Dimensional Physics",            39
"Interphased Fission",                  40
"Ion Fission",                          41
"Superscalar Construction",             42
"Macro Economics",                      43
"Macro Genetics",                       44
"Magneto Gravitics",                    45
"Matter Energy Conversion",             46
"Molecular Compression",                47
"Molecular Control",                    48
"Moleculatronics",                      49
"Molecular Manipulation",               50
"Multi-Dimensional Physics",            51
"Multi-Phased Physics",                 52
"Nano Technology",                      53
"Neutrino Physics",                     54
"Nuclear Fission",                      55
"Optronics",                            56
"Physics",                              57
"Planetoid Construction",               58
"Plasma Physics",                       59
"Positronics",                          60
"Quantum Fields",                       61
"Robotics",                             62
"Servo Mechanics",                      63
"Subspace Fields",                      64
"Subspace Physics",                     65
"Tachyon Physics",                      66
"Tectonic Engineering",                 67
"Temporal Fields",                      68
"Temporal Physics",                     69
"Trans Genetics",                       70
"Transwarp Fields",                     71
"Warp Fields",                          72
"Xeno Relations",                       73
"Antaran Technology",                   74
"Hyper Biology",                        75
"Hyper Power",                          76
"Hyper Physics",                        77
"Hyper Construction",                   78
"Hyper Fields",                         79
"Hyper Chemistry",                      80
"Hyper Computers",                      81
"Hyper Sociology",                      82

#define  MAX_TECH_FIELDS                83


TECHNOLOGY APPLICATIONS

"No Tech",                              0
"Achilles Targeting Unit",              1
"Adamantium Armor",                     2
"Advanced City Planning",               3
"Advanced Damage Control",              4
"Alien Management Center",              5
"Android Farmers",                      6
"Android Scientists",                   7
"Android Workers",                      8
"Anti-Grav Harness",                    9
"Anti-Matter Bomb",                     10
"Anti-Matter Drive",                    11
"Anti-Matter Torpedoes",                12
"Anti-Missile Rockets",                 13
"Armor Barracks",                       14
"Artemis System Net",                   15
"Planet Construction",                  16
"Assault Shuttles",                     17
"Astro University",                     18
"Atmospheric Renewer",                  19
"Augmented Engines",                    20
"Autolab",                              21
"Automated Factories",                  22
"Automated Repair Unit",                23
"Battleoids",                           24
"Battle Pods",                          25
"Battle Scanner",                       26
"Battlestation",                        27
"Bio-Terminator",                       28
"Biomorphic Fungi",                     29
"Black Hole Generator",                 30
"Bomber Bays",                          31
"Capitol",                              32
"Class I Shield",                       33
"Class III Shield",                     34
"Class V Shield",                       35
"Class VII Shield",                     36
"Class X Shield",                       37
"Cloaking Device",                      38
"Cloning Center",                       39
"Colony Base",                          40
"Colony Ship",                          41
"Confederation",                        42
"Cyber-Security Link",                  43
"Cybertronic Computer",                 44
"Damper Field",                         45
"Dauntless Guidance System",            46
"Death Ray",                            47
"Death Spores",                         48
"Deep Core Mining",                     49
"Core Waste Dumps",                     50
"Deuterium Fuel Cells",                 51
"Dimensional Portal",                   52
"Displacement Device",                  53
"Disrupter Cannon",                     54
"Doom Star Construction",               55
"Reinforced Hull",                      56
"Ecm Jammer",                           57
"Electronic Computer",                  58
"Emissions Guidance System",            59
"Energy Absorber",                      60
"Biospheres",                           61
"Evolutionary Mutation",                62
"Extended Fuel Tanks",                  63
"Fast Missile Racks",                   64
"Federation",                           65
"Fighter Bays",                         66
"Fighter Garrison",                     67
"Food Replicators",                     68
"Freighters",                           69
"Fusion Beam",                          70
"Fusion Bomb",                          71
"Fusion Drive",                         72
"Fusion Rifle",                         73
"Gaia Transformation",                  74
"Galactic Currency Exchange",           75
"Galactic Cybernet",                    76
"Galactic Unification",                 77
"Gauss Cannon",                         78
"Graviton Beam",                        79
"Gyro Destabilizer",                    80
"Hard Shields",                         81
"Heavy Armor",                          82
"Heavy Fighter Bays",                   83
"Heightened Intelligence",              84
"High Energy Focus",                    85
"Holo Simulator",                       86
"Hydroponic Farm",                      87
"Hyper Drive",                          88
"Megafluxers",                          89
"Hyper-X Capacitors",                   90
"Hyperspace Communications",            91
"Imperium",                             92
"Inertial Nullifier",                   93
"Inertial Stabilizer",                  94
"Interphased Drive",                    95
"Ion Drive",                            96
"Ion Pulse Cannon",                     97
"Iridium Fuel Cells",                   98
"Jump Gate",                            99
"Laser Cannon",                         100
"Laser Rifle",                          101
"Lightning Field",                      102
"Marine Barracks",                      103
"Mass Driver",                          104
"Mauler Device",                        105
"Merculite Missile",                    106
"Microbiotics",                         107
"Microlite Construction",               108
"Outpost Ship",                         109
"Moleculartronic Computer",             110
"Multi-Wave Ecm Jammer",                111
"Multi-Phased Shields",                 112
"Nano Disassemblers",                   113
"Neural Scanner",                       114
"Neutron Blaster",                      115
"Neutron Scanner",                      116
"Neutronium Armor",                     117
"Neutronium Bomb",                      118
"Nuclear Bomb",                         119
"Nuclear Drive",                        120
"Nuclear Missile",                      121
"Optronic Computer",                    122
"Particle Beam",                        123
"Personal Shield",                      124
"Phase Shifter",                        125
"Phasing Cloak",                        126
"Phasor",                               127
"Phasor Rifle",                         128
"Planetary Barrier Shield",             129
"Planetary Flux Shield",                130
"Planetary Gravity Generator",          131
"Planetary Missile Base",               132
"Ground Batteries",                     133
"Planetary Radiation Shield",           134
"Planetary Stock Exchange",             135
"Planetary Supercomputer",              136
"Plasma Cannon",                        137
